Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
LEXUS RX 350,3.5,6,SemiAuto-8,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LTYXT03.5M5M,small SUV,5,20,27,23,5,No,391
LEXUS RX 350,3.5,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LTYXT03.5M5M,small SUV,5,19,26,22,4,No,405
LEXUS RX 350,3.5,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LTYXT03.5M5M,small SUV,5,19,26,22,4,No,405
LEXUS RX 350 L,3.5,6,SemiAuto-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LTYXT03.5M5M,small SUV,5,19,26,22,4,No,407
LEXUS RX 350 L,3.5,6,SemiAuto-8,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LTYXT03.5M5M,small SUV,5,19,26,22,4,No,407
LEXUS RX 350 L,3.5,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LTYXT03.5M5M,small SUV,5,18,25,21,4,No,432
LEXUS RX 350 L,3.5,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LTYXT03.5M5M,small SUV,5,18,25,21,4,No,432
LEXUS RX 450h,3.5,6,SCV-6,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,LTYXT03.5P34,standard SUV,7,31,28,30,7,Yes,297
LEXUS RX 450h,3.5,6,SCV-6,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,LTYXT03.5P34,standard SUV,7,31,28,30,7,Yes,297
LEXUS RX 450h L,3.5,6,SCV-6,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,LTYXT03.5P3S,standard SUV,7,29,28,29,6,No,305
LEXUS RX 450h L,3.5,6,SCV-6,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,LTYXT03.5P3S,standard SUV,7,29,28,29,6,No,305
LEXUS UX 200,2,4,SCV-10,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,LTYXV02.0N4A,midsize car,6,29,37,33,7,Yes,271
LEXUS UX 200,2,4,SCV-10,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,LTYXV02.0N4A,midsize car,6,29,37,33,7,Yes,271
LEXUS UX 250h,2,4,SCV-6,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,LTYXV02.0N4C,small car,6,43,41,42,9,Yes,209
LEXUS UX 250h,2,4,SCV-6,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,LTYXV02.0N4C,small car,6,43,41,42,9,Yes,209
LEXUS UX 250h,2,4,SCV-6,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,LTYXV02.0N4C,small car,6,41,38,39,9,Yes,225
LEXUS UX 250h,2,4,SCV-6,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,LTYXV02.0N4C,small car,6,41,38,39,9,Yes,225
LINCOLN Aviator,3,6,SemiAuto-10,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LFMXT03.03U2,standard SUV,5,18,26,21,4,No,424
LINCOLN Aviator,3,6,SemiAuto-10,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LFMXT03.03U2,standard SUV,5,18,26,21,4,No,424
LINCOLN Aviator,3,6,SemiAuto-10,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LFMXT03.03U2,standard SUV,5,17,24,20,4,No,451
LINCOLN Aviator,3,6,SemiAuto-10,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LFMXT03.03U2,standard SUV,5,17,24,20,4,No,451
